=== start 1 (15:44:58) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
  64  16384  2048 |      30.0    29.9    30.1 |     32.9    32.9    32.9 |       1.10       1.10
  64  32768   512 |      49.2    49.2    49.4 |     75.6    75.5    81.0 |       1.54       1.53
  64  32768  2048 |      57.4    57.4    65.2 |     76.3    76.2    76.3 |       1.33       1.33
  64  65536   512 |      99.1    98.8    99.4 |    147.6   147.6   152.8 |       1.49       1.49
  64  65536  2048 |     108.4   108.1   116.1 |    151.7   151.6   158.8 |       1.40       1.40
   2   8192  2048 |      12.2    12.1    13.2 |     13.4    12.4    15.9 |       1.10       1.03
   2  16384  2048 |      16.5    16.4    19.9 |     18.5    18.5    18.6 |       1.13       1.13
   2  32768  2048 |      20.7    20.7    23.7 |     22.6    22.6    22.6 |       1.09       1.10
   4   8192  2048 |      12.3    12.3    17.8 |     12.6    12.4    15.3 |       1.02       1.01
   4  16384  2048 |      16.5    16.4    16.5 |     18.5    18.5    18.6 |       1.13       1.13
   4  32768  2048 |      20.9    20.8    21.0 |     22.6    22.6    22.6 |       1.08       1.09
   8   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.6 |       1.00       1.01
   8  16384  2048 |      16.4    16.4    16.5 |     18.6    18.5    18.6 |       1.13       1.13
   8  32768  2048 |      21.2    21.0    21.4 |     22.7    22.6    22.7 |       1.07       1.07
  16   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.5 |       1.00       1.01
  16  16384  2048 |      18.2    18.0    18.3 |     19.5    19.4    19.5 |       1.07       1.08
  16  32768  2048 |      22.6    22.6    27.6 |     28.8    28.8    28.8 |       1.27       1.27
  24   8192  2048 |      12.4    12.4    14.0 |     12.4    12.4    12.4 |       1.00       1.00
  24  16384  2048 |      17.1    17.0    17.3 |     19.3    19.1    19.4 |       1.13       1.12
  24  32768  2048 |      22.6    22.6    22.6 |     51.5    51.4    54.8 |       2.28       2.27
  32   8192  2048 |      12.4    12.4    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  32  16384  2048 |      16.5    16.5    16.5 |     18.5    18.5    18.6 |       1.12       1.12
  32  32768  2048 |      39.1    39.0    45.5 |     53.3    53.2    53.3 |       1.36       1.36
  48   8192  2048 |      12.4    12.4    12.4 |     13.9    13.7    14.0 |       1.12       1.11
  48  16384  2048 |      18.5    18.5    24.0 |     20.6    20.5    20.6 |       1.11       1.11
  48  32768  2048 |      39.1    39.1    39.3 |     75.9    75.9    80.4 |       1.94       1.94
== ALL DONE == 15:45
