=== start 1 (15:44:58) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.2     6.2     6.8 |      6.8     6.8     6.9 |       1.09       1.09
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       6.3     6.3     6.4 |      7.2     6.9     7.9 |       1.14       1.10
   1   8192   512 |      10.3    10.3    10.4 |     10.5    10.5    10.6 |       1.02       1.02
   1   8192  2048 |       8.6     8.6     8.7 |     10.4    10.3    10.4 |       1.20       1.20
   1  16384   512 |      12.5    12.4    12.6 |     16.5    16.5    16.5 |       1.32       1.33
   1  16384  2048 |      14.4    14.4    14.4 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    18.6 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.6    20.5    22.2 |     20.6    20.6    24.5 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.5 |     22.6    22.6    22.7 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    16.6 |     23.4    23.3    23.4 |       1.42       1.42
  64   1024   512 |      14.4    14.4    14.6 |     10.3    10.3    10.4 |       0.71       0.71
  64   4096   512 |      16.5    16.4    16.5 |     14.5    14.4    14.5 |       0.88       0.88
  64   4096  2048 |      12.4    12.4    19.7 |     14.2    14.1    14.2 |       1.14       1.14
  64   8192   512 |      18.5    18.5    19.1 |     21.7    20.6    25.7 |       1.17       1.11
  64   8192  2048 |      18.5    18.5    23.6 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      24.9    24.8    31.2 |     32.2    32.1    32.3 |       1.29       1.29
  64  16384  2048 |      30.4    30.2    30.6 |     32.9    32.9    32.9 |       1.08       1.09
  64  32768   512 |      49.3    49.2    57.0 |     75.6    75.5    81.8 |       1.53       1.53
  64  32768  2048 |      55.7    55.4    64.2 |     76.0    76.0    76.0 |       1.36       1.37
  64  65536   512 |      98.4    98.4   106.7 |    147.7   147.6   151.0 |       1.50       1.50
  64  65536  2048 |     108.4   108.2   117.2 |    152.0   151.9   152.1 |       1.40       1.40
   2   8192  2048 |      12.3    12.2    12.3 |     12.4    12.4    12.4 |       1.01       1.02
   2  16384  2048 |      16.4    16.4    16.5 |     18.5    18.5    18.5 |       1.13       1.13
   2  32768  2048 |      20.6    20.6    20.7 |     22.6    22.6    22.8 |       1.10       1.10
   4   8192  2048 |      12.3    12.3    15.5 |     12.4    12.4    14.2 |       1.01       1.01
   4  16384  2048 |      16.5    16.4    16.6 |     18.5    18.5    18.6 |       1.12       1.13
   4  32768  2048 |      20.6    20.6    20.8 |     22.6    22.6    22.6 |       1.10       1.10
   8   8192  2048 |      12.3    12.3    16.1 |     12.4    12.4    19.5 |       1.01       1.01
   8  16384  2048 |      16.5    16.5    16.5 |     18.5    18.5    18.6 |       1.12       1.12
   8  32768  2048 |      22.6    22.6    22.6 |     22.7    22.7    22.8 |       1.00       1.00
  16   8192  2048 |      12.4    12.3    12.5 |     12.4    12.4    12.4 |       1.00       1.00
  16  16384  2048 |      17.5    17.4    17.6 |     19.9    19.6    20.1 |       1.13       1.13
  16  32768  2048 |      22.6    22.6    22.7 |     28.8    28.8    28.8 |       1.27       1.27
  24   8192  2048 |      12.4    12.4    17.1 |     13.4    13.4    13.5 |       1.08       1.08
  24  16384  2048 |      16.5    16.5    22.8 |     18.5    18.5    18.5 |       1.12       1.12
  24  32768  2048 |      22.6    22.6    22.6 |     51.4    51.3    54.9 |       2.27       2.27
  32   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  32  16384  2048 |      16.5    16.5    21.7 |     19.2    19.1    19.3 |       1.17       1.16
  32  32768  2048 |      40.1    39.0    46.4 |     53.3    53.2    61.3 |       1.33       1.36
  48   8192  2048 |      12.4    12.4    14.6 |     13.9    13.9    14.1 |       1.12       1.12
  48  16384  2048 |      18.5    18.5    18.5 |     20.6    20.5    20.6 |       1.11       1.11
  48  32768  2048 |      39.0    39.0    44.3 |     75.9    75.8    75.9 |       1.94       1.94
=== start 2 (15:45:02) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.2     6.0     6.4 |      6.9     6.8     7.0 |       1.10       1.12
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       6.3     6.2     6.4 |      6.9     6.8     7.0 |       1.09       1.10
   1   8192   512 |      10.3    10.3    10.4 |     10.5    10.4    10.5 |       1.02       1.01
   1   8192  2048 |      10.3    10.3    10.3 |     10.4    10.4    10.4 |       1.01       1.01
   1  16384   512 |      12.4    12.4    12.5 |     16.5    16.5    16.7 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    15.6 |     18.2    16.5    20.6 |       1.26       1.14
   1  32768   512 |      18.5    18.5    18.5 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.6    20.5    21.9 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    19.6 |     22.6    22.6    22.7 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    16.5 |     23.6    23.6    23.8 |       1.43       1.43
  64   1024   512 |      12.4    12.4    12.4 |      8.3     8.3     8.4 |       0.67       0.67
  64   4096   512 |      16.5    16.4    22.9 |     14.4    14.4    14.5 |       0.88       0.88
  64   4096  2048 |      16.1    16.0    21.3 |     14.4    14.4    14.4 |       0.90       0.90
  64   8192   512 |      18.5    18.5    18.5 |     20.6    20.6    20.6 |       1.11       1.11
  64   8192  2048 |      18.5    18.5    18.8 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.7    26.7    31.8 |     32.8    32.8    33.0 |       1.23       1.23
  64  16384  2048 |      28.8    28.8    35.1 |     32.8    32.8    32.9 |       1.14       1.14
  64  32768   512 |      49.3    49.2    49.3 |     75.8    75.7    76.0 |       1.54       1.54
  64  32768  2048 |      57.4    57.4    57.6 |     76.6    76.4    76.7 |       1.33       1.33
  64  65536   512 |      98.4    98.4   107.4 |    147.7   147.6   154.0 |       1.50       1.50
  64  65536  2048 |     109.8   109.7   110.2 |    153.7   153.6   158.1 |       1.40       1.40
   2   8192  2048 |      12.2    12.1    12.3 |     12.4    12.4    12.4 |       1.01       1.02
   2  16384  2048 |      16.4    16.4    16.5 |     18.5    18.5    18.6 |       1.13       1.13
   2  32768  2048 |      20.6    20.6    22.7 |     22.6    22.6    27.3 |       1.10       1.10
   4   8192  2048 |      12.2    12.1    12.3 |     12.4    12.4    12.4 |       1.02       1.02
   4  16384  2048 |      16.5    16.4    20.7 |     18.6    18.5    19.0 |       1.13       1.13
   4  32768  2048 |      21.4    21.3    21.7 |     23.5    22.6    28.0 |       1.10       1.06
   8   8192  2048 |      12.3    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.01
   8  16384  2048 |      16.5    16.5    21.9 |     18.6    18.5    18.6 |       1.13       1.12
   8  32768  2048 |      21.8    21.5    22.1 |     24.0    22.7    27.4 |       1.10       1.05
  16   8192  2048 |      12.3    12.3    16.7 |     12.4    12.4    12.4 |       1.00       1.01
  16  16384  2048 |      16.8    16.7    22.9 |     19.3    19.0    19.4 |       1.15       1.14
  16  32768  2048 |      22.6    22.6    22.6 |     28.8    28.8    28.8 |       1.27       1.27
  24   8192  2048 |      12.4    12.4    15.8 |     12.4    12.4    16.9 |       1.00       1.00
  24  16384  2048 |      16.5    16.5    16.5 |     18.9    18.7    19.0 |       1.15       1.13
  24  32768  2048 |      22.6    22.6    28.8 |     51.5    51.5    51.6 |       2.28       2.28
  32   8192  2048 |      12.4    12.4    12.5 |     12.5    12.4    12.5 |       1.01       1.00
  32  16384  2048 |      18.5    18.5    18.5 |     21.4    20.1    25.3 |       1.16       1.09
  32  32768  2048 |      39.0    39.0    46.4 |     53.3    53.3    59.5 |       1.37       1.37
  48   8192  2048 |      12.4    12.4    12.4 |     13.9    13.7    13.9 |       1.12       1.10
  48  16384  2048 |      18.5    18.5    18.5 |     21.9    20.6    26.1 |       1.18       1.11
  48  32768  2048 |      39.2    39.0    43.5 |     77.7    75.9    82.4 |       1.98       1.94
=== start 3 (15:45:05) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.2     6.1     6.4 |      6.7     6.6     6.8 |       1.08       1.08
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       6.3     6.1     8.4 |      7.9     7.8     8.2 |       1.26       1.27
   1   8192   512 |      10.3    10.3    10.3 |     10.5    10.4    10.5 |       1.02       1.01
   1   8192  2048 |      10.3    10.3    10.3 |     10.4    10.4    10.5 |       1.01       1.01
   1  16384   512 |      12.4    12.4    12.6 |     16.5    16.5    16.5 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    14.6 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    18.5 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.5    20.5    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.5 |     22.7    22.6    22.8 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    20.8 |     23.4    23.3    23.6 |       1.42       1.42
  64   1024   512 |      12.4    12.3    15.7 |      8.3     8.3     8.3 |       0.67       0.67
  64   4096   512 |      16.5    16.5    21.4 |     14.5    14.4    14.5 |       0.88       0.88
  64   4096  2048 |      12.5    12.4    12.7 |     14.4    14.4    14.4 |       1.15       1.15
  64   8192   512 |      18.5    18.5    18.6 |     21.8    20.6    25.8 |       1.18       1.11
  64   8192  2048 |      18.6    18.5    22.4 |     20.6    20.6    27.2 |       1.11       1.11
  64  16384   512 |      26.6    26.5    31.2 |     32.7    32.7    37.2 |       1.23       1.24
