=== start a 12:04 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 2560   1280  3072    3.1  0.130    7.5 |   177.9   180.3 |     +1.3 | True
 2560   1280  4096    3.1  0.130   10.0 |   166.0   172.3 |     +3.8 | True
 2560   1280  6144    3.1  0.130   15.0 |   168.7   174.0 |     +3.1 | True
 2560   1280  8192    3.1  0.130   20.0 |   163.5   170.2 |     +4.1 | True
 2560   2560  2048    6.2  0.260    5.0 |   158.8   153.6 |     -3.3 | True
 2560   2560  3072    6.2  0.260    7.5 |   162.3   170.5 |     +5.1 | True
 2560   2560  4096    6.2  0.260   10.0 |   167.2   165.4 |     -1.1 | True
 2560   2560  6144    6.2  0.260   15.0 |   175.6   160.0 |     -8.9 | True
 2560   2560  8192    6.2  0.260   20.0 |   175.2   161.7 |     -7.7 | True
 2560   3840  2048    9.4  0.391    5.0 |   156.7   165.2 |     +5.4 | True
 2560   3840  3072    9.4  0.391    7.5 |   156.3   152.4 |     -2.5 | True
 2560   3840  4096    9.4  0.391   10.0 |   176.4   158.7 |    -10.0 | True
 2560   3840  6144    9.4  0.391   15.0 |   179.3   153.1 |    -14.6 | True
 2560   3840  8192    9.4  0.391   20.0 |   167.2   158.3 |     -5.3 | True
 2560   5120  2048   12.5  0.521    5.0 |   151.5   162.1 |     +7.0 | True
 2560   5120  3072   12.5  0.521    7.5 |   156.3   152.4 |     -2.5 | True
 2560   5120  4096   12.5  0.521   10.0 |   164.3   143.9 |    -12.4 | True
 2560   5120  6144   12.5  0.521   15.0 |   162.7   148.4 |     -8.7 | True
 2560   5120  8192   12.5  0.521   20.0 |   161.1   149.3 |     -7.3 | True
 2560   7168  2048   17.5  0.729    5.0 |   156.0   156.4 |     +0.2 | True
 2560   7168  3072   17.5  0.729    7.5 |   151.6   150.5 |     -0.7 | True
 2560   7168  4096   17.5  0.729   10.0 |   157.4   146.1 |     -7.2 | True
 2560   7168  6144   17.5  0.729   15.0 |   132.3   148.5 |    +12.3 | True
 2560   7168  8192   17.5  0.729   20.0 |   115.2   149.7 |    +29.9 | True
 2560  10240  2048   25.0  1.042    5.0 |   150.2   155.1 |     +3.3 | True
 2560  10240  3072   25.0  1.042    7.5 |   152.0   151.4 |     -0.4 | True
 2560  10240  4096   25.0  1.042   10.0 |   158.0   150.4 |     -4.8 | True
 2560  10240  6144   25.0  1.042   15.0 |   132.9   149.9 |    +12.8 | True
 2560  10240  8192   25.0  1.042   20.0 |    86.8   145.9 |    +68.0 | True
 2560  14336  2048   35.0  1.458    5.0 |   158.4   154.7 |     -2.3 | True
 2560  14336  3072   35.0  1.458    7.5 |   152.1   154.6 |     +1.6 | True
 2560  14336  4096   35.0  1.458   10.0 |   155.7   151.6 |     -2.7 | True
 2560  14336  6144   35.0  1.458   15.0 |   133.3   149.1 |    +11.8 | True
 2560  14336  8192   35.0  1.458   20.0 |    86.4   147.6 |    +70.7 | True
 2560  20480  2048   50.0  2.083    5.0 |   155.8   151.4 |     -2.8 | True
 2560  20480  3072   50.0  2.083    7.5 |   152.2   153.0 |     +0.6 | True
 2560  20480  4096   50.0  2.083   10.0 |   154.3   150.1 |     -2.7 | True
 2560  20480  6144   50.0  2.083   15.0 |   124.8   148.4 |    +18.9 | True
 2560  20480  8192   50.0  2.083   20.0 |    97.9   149.7 |    +52.8 | True
 4096   1280  2048    5.0  0.208    8.0 |   156.9   156.1 |     -0.5 | True
 4096   1280  3072    5.0  0.208   12.0 |   182.9   183.6 |     +0.4 | True
 4096   1280  4096    5.0  0.208   16.0 |   175.8   175.5 |     -0.2 | True
 4096   1280  6144    5.0  0.208   24.0 |   182.4   183.3 |     +0.5 | True
 4096   1280  8192    5.0  0.208   32.0 |   176.2   173.1 |     -1.7 | True
 4096   2560  2048   10.0  0.417    8.0 |   174.0   170.5 |     -2.0 | True
 4096   2560  3072   10.0  0.417   12.0 |   164.2   161.1 |     -1.9 | True
 4096   2560  4096   10.0  0.417   16.0 |   174.2   161.3 |     -7.4 | True
 4096   2560  6144   10.0  0.417   24.0 |   171.3   165.6 |     -3.3 | True
 4096   2560  8192   10.0  0.417   32.0 |   174.5   166.4 |     -4.6 | True
 4096   3840  2048   15.0  0.625    8.0 |   177.9   166.6 |     -6.3 | True
 4096   3840  3072   15.0  0.625   12.0 |   177.5   153.4 |    -13.6 | True
 4096   3840  4096   15.0  0.625   16.0 |   164.9   161.9 |     -1.8 | True
 4096   3840  6144   15.0  0.625   24.0 |   161.2   164.5 |     +2.0 | True
 4096   3840  8192   15.0  0.625   32.0 |   165.2   165.8 |     +0.4 | True
 4096   5120  2048   20.0  0.833    8.0 |   171.8   158.8 |     -7.6 | True
 4096   5120  3072   20.0  0.833   12.0 |   171.0   147.5 |    -13.8 | True
 4096   5120  4096   20.0  0.833   16.0 |   142.4   158.5 |    +11.3 | True
 4096   5120  6144   20.0  0.833   24.0 |   138.9   165.1 |    +18.9 | True
 4096   5120  8192   20.0  0.833   32.0 |   126.7   162.2 |    +28.0 | True
 4096   7168  2048   28.0  1.167    8.0 |   169.6   162.9 |     -4.0 | True
 4096   7168  3072   28.0  1.167   12.0 |   163.8   160.6 |     -2.0 | True
 4096   7168  4096   28.0  1.167   16.0 |   153.2   158.9 |     +3.7 | True
 4096   7168  6144   28.0  1.167   24.0 |    64.4   167.0 |   +159.6 | True
 4096   7168  8192   28.0  1.167   32.0 |    57.3   165.6 |   +189.1 | True
 4096  10240  2048   40.0  1.667    8.0 |   177.3   157.2 |    -11.3 | True
 4096  10240  3072   40.0  1.667   12.0 |   166.8   159.9 |     -4.1 | True
 4096  10240  4096   40.0  1.667   16.0 |   140.8   160.4 |    +13.9 | True
 4096  10240  6144   40.0  1.667   24.0 |    62.2   160.8 |   +158.6 | True
 4096  10240  8192   40.0  1.667   32.0 |    51.9   164.8 |   +217.3 | True
 4096  14336  2048   56.0  2.333    8.0 |   167.5   159.1 |     -5.0 | True
 4096  14336  3072   56.0  2.333   12.0 |   168.1   162.9 |     -3.1 | True
 4096  14336  4096   56.0  2.333   16.0 |   153.1   161.4 |     +5.4 | True
 4096  14336  6144   56.0  2.333   24.0 |    65.3   163.0 |   +149.5 | True
 4096  14336  8192   56.0  2.333   32.0 |    52.6   164.0 |   +211.8 | True
 4096  20480  2048   80.0  3.333    8.0 |   169.6   165.9 |     -2.2 | True
 4096  20480  3072   80.0  3.333   12.0 |   165.5   162.4 |     -1.9 | True
 4096  20480  4096   80.0  3.333   16.0 |   155.2   163.1 |     +5.1 | True
 4096  20480  6144   80.0  3.333   24.0 |    60.0   162.5 |   +170.8 | True
 4096  20480  8192   80.0  3.333   32.0 |    51.6   163.2 |   +216.1 | True
 5120   1280  2048    6.2  0.260   10.0 |   158.2   152.0 |     -3.9 | True
 5120   1280  3072    6.2  0.260   15.0 |   179.8   184.7 |     +2.7 | True
 5120   1280  4096    6.2  0.260   20.0 |   179.4   176.3 |     -1.7 | True
 5120   1280  6144    6.2  0.260   30.0 |   184.1   175.9 |     -4.5 | True
 5120   1280  8192    6.2  0.260   40.0 |   178.5   169.3 |     -5.2 | True
 5120   2560  2048   12.5  0.521   10.0 |   176.7   172.4 |     -2.5 | True
 5120   2560  3072   12.5  0.521   15.0 |   184.5   157.6 |    -14.6 | True
 5120   2560  4096   12.5  0.521   20.0 |   172.4   148.6 |    -13.8 | True
 5120   2560  6144   12.5  0.521   30.0 |   171.2   158.1 |     -7.6 | True
 5120   2560  8192   12.5  0.521   40.0 |   174.5   166.3 |     -4.7 | True
 5120   3840  2048   18.8  0.781   10.0 |   183.8   164.7 |    -10.4 | True
 5120   3840  3072   18.8  0.781   15.0 |   169.0   160.3 |     -5.2 | True
 5120   3840  4096   18.8  0.781   20.0 |   153.6   167.4 |     +9.0 | True
 5120   3840  6144   18.8  0.781   30.0 |   142.4   167.8 |    +17.9 | True
 5120   3840  8192   18.8  0.781   40.0 |   141.5   166.8 |    +17.9 | True
 5120   5120  2048   25.0  1.042   10.0 |   176.9   159.8 |     -9.7 | True
 5120   5120  3072   25.0  1.042   15.0 |   167.9   157.0 |     -6.5 | True
 5120   5120  4096   25.0  1.042   20.0 |   101.9   161.1 |    +58.2 | True
 5120   5120  6144   25.0  1.042   30.0 |   106.3   169.5 |    +59.3 | True
 5120   5120  8192   25.0  1.042   40.0 |    77.0   162.5 |   +111.1 | True
 5120   7168  2048   35.0  1.458   10.0 |   172.7   157.0 |     -9.1 | True
 5120   7168  3072   35.0  1.458   15.0 |   164.7   162.1 |     -1.5 | True
 5120   7168  4096   35.0  1.458   20.0 |   111.4   161.8 |    +45.3 | True
 5120   7168  6144   35.0  1.458   30.0 |    52.1   172.0 |   +230.2 | True
 5120   7168  8192   35.0  1.458   40.0 |    53.0   166.8 |   +214.7 | True
 5120  10240  2048   50.0  2.083   10.0 |   177.2   161.9 |     -8.6 | True
 5120  10240  3072   50.0  2.083   15.0 |   166.1   161.3 |     -2.9 | True
 5120  10240  4096   50.0  2.083   20.0 |   117.6   163.1 |    +38.6 | True
 5120  10240  6144   50.0  2.083   30.0 |    53.8   167.2 |   +211.0 | True
 5120  10240  8192   50.0  2.083   40.0 |    51.9   168.2 |   +223.9 | True
 5120  14336  2048   70.0  2.917   10.0 |   175.3   166.0 |     -5.3 | True
 5120  14336  3072   70.0  2.917   15.0 |   165.9   165.1 |     -0.4 | True
 5120  14336  4096   70.0  2.917   20.0 |   108.8   163.4 |    +50.2 | True
 5120  14336  6144   70.0  2.917   30.0 |    53.8   167.0 |   +210.5 | True
 5120  14336  8192   70.0  2.917   40.0 |    50.9   168.2 |   +230.3 | True
 5120  20480  2048  100.0  4.167   10.0 |   171.1   166.3 |     -2.8 | True
 5120  20480  3072  100.0  4.167   15.0 |   168.4   163.9 |     -2.7 | True
 5120  20480  4096  100.0  4.167   20.0 |   124.5   165.4 |    +32.9 | True
 5120  20480  6144  100.0  4.167   30.0 |    52.4   166.6 |   +218.1 | True
 5120  20480  8192  100.0  4.167   40.0 |    50.6   167.8 |   +231.8 | True
 6144   1280  2048    7.5  0.312   12.0 |   158.9   158.5 |     -0.3 | True
 6144   1280  3072    7.5  0.312   18.0 |   187.2   178.6 |     -4.6 | True
 6144   1280  4096    7.5  0.312   24.0 |   180.9   176.4 |     -2.5 | True
 6144   1280  6144    7.5  0.312   36.0 |   185.8   172.1 |     -7.4 | True
 6144   1280  8192    7.5  0.312   48.0 |   178.9   165.6 |     -7.4 | True
 6144   2560  2048   15.0  0.625   12.0 |   176.0   165.4 |     -6.0 | True
 6144   2560  3072   15.0  0.625   18.0 |   177.9   161.3 |     -9.3 | True
 6144   2560  4096   15.0  0.625   24.0 |   171.7   159.8 |     -6.9 | True
 6144   2560  6144   15.0  0.625   36.0 |   169.8   162.8 |     -4.1 | True
 6144   2560  8192   15.0  0.625   48.0 |   173.2   164.3 |     -5.2 | True
 6144   3840  2048   22.5  0.938   12.0 |   171.7   163.1 |     -5.0 | True
 6144   3840  3072   22.5  0.938   18.0 |   138.7   155.4 |    +12.1 | True
 6144   3840  4096   22.5  0.938   24.0 |   135.5   168.7 |    +24.4 | True
 6144   3840  6144   22.5  0.938   36.0 |   102.5   167.3 |    +63.2 | True
 6144   3840  8192   22.5  0.938   48.0 |   119.7   168.9 |    +41.1 | True
 6144   5120  2048   30.0  1.250   12.0 |   178.6   154.6 |    -13.4 | True
 6144   5120  3072   30.0  1.250   18.0 |   134.0   163.3 |    +21.9 | True
 6144   5120  4096   30.0  1.250   24.0 |    83.7   163.4 |    +95.2 | True
 6144   5120  6144   30.0  1.250   36.0 |    90.6   169.5 |    +87.0 | True
 6144   5120  8192   30.0  1.250   48.0 |    68.5   165.8 |   +142.1 | True
 6144   7168  2048   42.0  1.750   12.0 |   169.4   156.6 |     -7.6 | True
 6144   7168  3072   42.0  1.750   18.0 |   147.5   164.3 |    +11.4 | True
 6144   7168  4096   42.0  1.750   24.0 |    88.9   163.7 |    +84.2 | True
 6144   7168  6144   42.0  1.750   36.0 |    51.3   171.2 |   +233.5 | True
 6144   7168  8192   42.0  1.750   48.0 |    72.3   167.8 |   +132.0 | True
 6144  10240  2048   60.0  2.500   12.0 |   176.1   164.6 |     -6.5 | True
 6144  10240  3072   60.0  2.500   18.0 |   148.9   162.1 |     +8.9 | True
 6144  10240  4096   60.0  2.500   24.0 |    85.7   164.3 |    +91.8 | True
 6144  10240  6144   60.0  2.500   36.0 |    50.7   168.8 |   +232.7 | True
 6144  10240  8192   60.0  2.500   48.0 |    50.9   169.1 |   +232.2 | True
 6144  14336  2048   84.0  3.500   12.0 |   176.5   163.6 |     -7.3 | True
 6144  14336  3072   84.0  3.500   18.0 |   148.2   165.7 |    +11.8 | True
 6144  14336  4096   84.0  3.500   24.0 |    85.1   163.1 |    +91.8 | True
 6144  14336  6144   84.0  3.500   36.0 |    51.2   168.6 |   +229.5 | True
 6144  14336  8192   84.0  3.500   48.0 |    51.2   170.1 |   +232.2 | True
 6144  20480  2048  120.0  5.000   12.0 |   173.2   164.2 |     -5.2 | True
 6144  20480  3072  120.0  5.000   18.0 |   148.0   165.9 |    +12.1 | True
 6144  20480  4096  120.0  5.000   24.0 |    86.7   164.8 |    +90.1 | True
 6144  20480  6144  120.0  5.000   36.0 |    52.2   168.9 |   +223.7 | True
 6144  20480  8192  120.0  5.000   48.0 |    51.4   169.9 |   +230.5 | True
== ALL DONE ==
== RUNNER DONE == 12:07
