=== start a 12:04 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 4096  14336  8192   56.0  2.333   32.0 |    54.9   170.1 |   +209.7 | True
 4096  20480  2048   80.0  3.333    8.0 |   171.9   163.9 |     -4.7 | True
 4096  20480  3072   80.0  3.333   12.0 |   172.0   167.2 |     -2.8 | True
 4096  20480  4096   80.0  3.333   16.0 |   163.7   167.8 |     +2.5 | True
 4096  20480  6144   80.0  3.333   24.0 |    58.4   167.3 |   +186.8 | True
 4096  20480  8192   80.0  3.333   32.0 |    52.7   168.1 |   +219.4 | True
 5120   1280  2048    6.2  0.260   10.0 |   159.9   156.7 |     -2.0 | True
 5120   1280  3072    6.2  0.260   15.0 |   187.8   188.0 |     +0.1 | True
 5120   1280  4096    6.2  0.260   20.0 |   180.5   178.4 |     -1.2 | True
 5120   1280  6144    6.2  0.260   30.0 |   180.8   186.3 |     +3.1 | True
 5120   1280  8192    6.2  0.260   40.0 |   180.4   182.2 |     +1.0 | True
 5120   2560  2048   12.5  0.521   10.0 |   178.2   173.6 |     -2.6 | True
 5120   2560  3072   12.5  0.521   15.0 |   185.7   178.1 |     -4.1 | True
 5120   2560  4096   12.5  0.521   20.0 |   178.1   167.7 |     -5.9 | True
 5120   2560  6144   12.5  0.521   30.0 |   176.7   164.9 |     -6.7 | True
 5120   2560  8192   12.5  0.521   40.0 |   181.6   170.1 |     -6.3 | True
 5120   3840  2048   18.8  0.781   10.0 |   187.6   169.3 |     -9.8 | True
 5120   3840  3072   18.8  0.781   15.0 |   178.6   159.5 |    -10.7 | True
 5120   3840  4096   18.8  0.781   20.0 |   164.0   175.4 |     +7.0 | True
 5120   3840  6144   18.8  0.781   30.0 |   143.3   171.2 |    +19.5 | True
 5120   3840  8192   18.8  0.781   40.0 |   146.2   167.7 |    +14.7 | True
 5120   5120  2048   25.0  1.042   10.0 |   179.5   169.7 |     -5.5 | True
 5120   5120  3072   25.0  1.042   15.0 |   170.3   153.9 |     -9.6 | True
 5120   5120  4096   25.0  1.042   20.0 |   117.1   161.9 |    +38.3 | True
 5120   5120  6144   25.0  1.042   30.0 |    98.5   171.4 |    +74.0 | True
 5120   5120  8192   25.0  1.042   40.0 |    74.1   170.5 |   +130.0 | True
 5120   7168  2048   35.0  1.458   10.0 |   177.7   164.6 |     -7.4 | True
 5120   7168  3072   35.0  1.458   15.0 |   166.6   165.3 |     -0.8 | True
 5120   7168  4096   35.0  1.458   20.0 |   108.8   167.6 |    +54.0 | True
 5120   7168  6144   35.0  1.458   30.0 |    51.7   170.2 |   +229.6 | True
 5120   7168  8192   35.0  1.458   40.0 |    54.5   171.8 |   +215.0 | True
 5120  10240  2048   50.0  2.083   10.0 |   176.8   166.8 |     -5.7 | True
 5120  10240  3072   50.0  2.083   15.0 |   159.9   161.7 |     +1.1 | True
 5120  10240  4096   50.0  2.083   20.0 |   107.5   165.9 |    +54.4 | True
 5120  10240  6144   50.0  2.083   30.0 |    51.6   172.0 |   +233.5 | True
 5120  10240  8192   50.0  2.083   40.0 |    51.8   172.6 |   +233.1 | True
 5120  14336  2048   70.0  2.917   10.0 |   175.1   165.1 |     -5.7 | True
 5120  14336  3072   70.0  2.917   15.0 |   169.0   165.7 |     -2.0 | True
 5120  14336  4096   70.0  2.917   20.0 |   114.8   168.1 |    +46.5 | True
 5120  14336  6144   70.0  2.917   30.0 |    54.0   170.8 |   +216.3 | True
 5120  14336  8192   70.0  2.917   40.0 |    51.4   172.0 |   +234.6 | True
 5120  20480  2048  100.0  4.167   10.0 |   174.7   168.7 |     -3.4 | True
 5120  20480  3072  100.0  4.167   15.0 |   172.1   167.8 |     -2.5 | True
 5120  20480  4096  100.0  4.167   20.0 |   107.8   168.2 |    +56.1 | True
