base FNPFTIME steps=100 prefetch_ms(prep->done) p50=67.999 p90=71.869 | inputs_ms(prep->ready) p50=62.736 | touch_ms p50=5.165 p90=8.038 | gather_gpu_us p50=5214.656 p90=8125.504 max=123065.277 | gpu_started_before_touch_done=0.99 | majflt_during_touch p50=26 p90=40 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=67.903 p90=72.48 | inputs_ms(prep->ready) p50=62.674 | touch_ms p50=4.937 p90=7.793 | gather_gpu_us p50=4942.88 p90=7847.936 max=13287.328 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=27 p90=37 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=67.88 p90=71.783 | inputs_ms(prep->ready) p50=62.858 | touch_ms p50=4.74 p90=7.17 | gather_gpu_us p50=4846.72 p90=7341.024 max=14548.832 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=29 p90=47 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=68.137 p90=71.016 | inputs_ms(prep->ready) p50=62.913 | touch_ms p50=4.767 p90=7.164 | gather_gpu_us p50=4829.536 p90=7243.84 max=18686.176 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=33 p90=49 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=68.232 p90=71.17 | inputs_ms(prep->ready) p50=62.7 | touch_ms p50=4.909 p90=7.683 | gather_gpu_us p50=5061.088 p90=7818.24 max=10664.256 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=34 p90=49 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=68.167 p90=71.688 | inputs_ms(prep->ready) p50=63.336 | touch_ms p50=4.559 p90=7.414 | gather_gpu_us p50=4780.512 p90=7493.696 max=15694.88 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=38 p90=52 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=66.125 p90=69.681 | inputs_ms(prep->ready) p50=62.206 | touch_ms p50=3.588 p90=5.37 | gather_gpu_us p50=3653.024 p90=5871.936 max=14947.296 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=31 p90=51 | lookup_wait_ms p50=None p90=None
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=43.264 p90=45.715 | inputs_ms(prep->ready) p50=41.05 | touch_ms p50=2.121 p90=3.704 | gather_gpu_us p50=92.672 p90=272.384 max=3635.648 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=64 p90=67 | lookup_wait_ms p50=42.727 p90=45.634
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=42.855 p90=44.732 | inputs_ms(prep->ready) p50=40.442 | touch_ms p50=2.171 p90=3.441 | gather_gpu_us p50=92.032 p90=261.888 max=415.104 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=59 p90=67 | lookup_wait_ms p50=42.929 p90=44.765
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=43.537 p90=46.02 | inputs_ms(prep->ready) p50=41.274 | touch_ms p50=2.138 p90=3.926 | gather_gpu_us p50=90.4 p90=182.592 max=346.72 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=62 p90=66 | lookup_wait_ms p50=43.182 p90=45.709
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=43.624 p90=45.277 | inputs_ms(prep->ready) p50=41.459 | touch_ms p50=2.155 p90=3.289 | gather_gpu_us p50=93.12 p90=202.176 max=358.112 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=59 p90=67 | lookup_wait_ms p50=43.73 p90=45.462
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=41.942 p90=44.591 | inputs_ms(prep->ready) p50=39.678 | touch_ms p50=2.12 p90=3.238 | gather_gpu_us p50=95.168 p90=238.016 max=268.0 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=58 p90=66 | lookup_wait_ms p50=42.034 p90=44.646
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=43.292 p90=45.851 | inputs_ms(prep->ready) p50=41.082 | touch_ms p50=1.99 p90=2.861 | gather_gpu_us p50=84.128 p90=182.08 max=280.48 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=58 p90=67 | lookup_wait_ms p50=42.628 p90=45.706
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=43.773 p90=47.035 | inputs_ms(prep->ready) p50=41.64 | touch_ms p50=2.03 p90=2.519 | gather_gpu_us p50=78.592 p90=221.344 max=351.392 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=57 p90=67 | lookup_wait_ms p50=44.121 p90=47.088
