=== start 1 (15:45:22) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   2  16384  2048 |      16.5    16.5    16.7 |     18.5    18.5    18.6 |       1.12       1.12
   2  32768  2048 |      20.7    20.6    25.0 |     22.6    22.6    22.6 |       1.09       1.10
   4   8192  2048 |      12.3    12.2    15.9 |     12.4    12.4    12.4 |       1.01       1.02
   4  16384  2048 |      16.5    16.5    19.9 |     19.1    19.0    24.7 |       1.16       1.15
   4  32768  2048 |      20.8    20.8    21.0 |     22.6    22.6    22.6 |       1.09       1.09
   8   8192  2048 |      12.3    12.2    12.4 |     12.4    12.4    12.4 |       1.01       1.02
   8  16384  2048 |      16.5    16.4    17.7 |     18.5    18.5    18.5 |       1.12       1.13
   8  32768  2048 |      22.6    22.6    26.5 |     22.7    22.6    22.8 |       1.00       1.00
  16   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.01
  16  16384  2048 |      16.5    16.5    16.6 |     20.9    18.5    22.1 |       1.27       1.13
  16  32768  2048 |      22.6    22.6    22.8 |     28.8    28.8    28.8 |       1.27       1.27
  24   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  24  16384  2048 |      16.5    16.5    21.4 |     18.5    18.5    22.7 |       1.13       1.12
  24  32768  2048 |      22.6    22.6    22.6 |     51.9    51.7    58.4 |       2.29       2.29
  32   8192  2048 |      12.4    12.4    12.5 |     12.4    12.4    12.4 |       1.00       1.00
  32  16384  2048 |      18.5    18.5    22.3 |     20.0    20.0    20.0 |       1.08       1.08
  32  32768  2048 |      39.0    39.0    41.7 |     53.3    53.3    56.8 |       1.37       1.37
  48   8192  2048 |      12.4    12.4    12.5 |     15.2    13.6    20.4 |       1.22       1.10
  48  16384  2048 |      18.5    18.5    23.5 |     20.6    20.5    28.8 |       1.11       1.11
  48  32768  2048 |      39.0    39.0    39.4 |     76.3    76.1    80.3 |       1.95       1.95
=== start 3 (15:45:29) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.1     6.1     6.6 |      6.8     6.7     7.0 |       1.10       1.09
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       8.2     8.2     8.4 |      7.4     7.2     7.9 |       0.90       0.88
   1   8192   512 |      10.3    10.3    10.3 |     10.4    10.4    10.4 |       1.01       1.01
   1   8192  2048 |      10.3    10.3    10.3 |     10.4    10.4    10.4 |       1.01       1.01
   1  16384   512 |      12.4    12.4    12.6 |     16.5    16.5    16.5 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    14.4 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.4    18.3    18.5 |     20.6    20.6    20.6 |       1.12       1.12
   1  32768  2048 |      20.6    20.6    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.5 |     22.6    22.6    22.7 |       1.37       1.38
   1  65536  2048 |      16.5    16.5    16.6 |     23.4    23.4    23.5 |       1.42       1.42
  64   1024   512 |      12.4    12.4    16.1 |     10.8     9.5    14.5 |       0.88       0.77
  64   4096   512 |      16.5    16.4    16.5 |     14.5    14.5    14.5 |       0.88       0.88
  64   4096  2048 |      14.5    14.4    20.9 |     14.3    14.3    16.0 |       0.99       0.99
  64   8192   512 |      18.5    18.5    22.0 |     20.6    20.6    26.1 |       1.11       1.11
  64   8192  2048 |      18.6    18.5    22.6 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.7    26.7    31.0 |     32.9    32.9    32.9 |       1.23       1.23
  64  16384  2048 |      28.8    28.8    33.5 |     32.9    32.9    37.8 |       1.14       1.14
  64  32768   512 |      49.3    49.2    54.6 |     75.6    75.5    76.0 |       1.54       1.53
  64  32768  2048 |      55.9    55.8    62.0 |     76.1    76.1    76.2 |       1.36       1.36
  64  65536   512 |      98.5    98.4    98.6 |    147.6   147.6   147.6 |       1.50       1.50
  64  65536  2048 |     110.5   110.4   116.9 |    153.7   153.7   163.2 |       1.39       1.39
   2   8192  2048 |      12.1    12.1    12.2 |     12.4    12.4    12.4 |       1.02       1.03
