base cuh md5: 0549208bae0ff57c32d61214b255457c
blk  cuh md5: 87885caf46f44e801a5357bb3e1e4fad
=== BUILD base  09:28 ===
=== BUILD blk  09:28 ===
=== CORRECTNESS (gate: both must be FAILS: 0) ===
  base  FAILS: 0
  blk  FAILS: 0
=== BENCH, interleaved, 3 starts per arm ===
--- base start 1  09:29 ---
   1  32768  2048 |      20.6    20.6    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    21.8 |     22.8    22.7    22.8 |       1.38       1.38
   1  65536  2048 |      16.6    16.5    16.7 |     24.3    24.1    24.3 |       1.46       1.46
  64   8192   512 |      18.5    18.5    18.6 |     22.1    20.6    26.8 |       1.19       1.11
  64   8192  2048 |      18.5    18.5    24.8 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.7    26.6    33.1 |     32.8    32.7    32.8 |       1.23       1.23
  64  16384  2048 |      30.8    30.8    30.8 |     32.9    32.9    32.9 |       1.07       1.07
  64  32768   512 |      49.3    49.2    57.6 |     75.9    75.9    76.0 |       1.54       1.54
  64  32768  2048 |      55.5    55.4    61.0 |     77.9    77.8    77.9 |       1.40       1.40
  64  65536   512 |     100.4   100.2   106.8 |    149.7   149.6   149.7 |       1.49       1.49
  64  65536  2048 |     114.8   114.7   125.3 |    159.8   159.7   159.8 |       1.39       1.39
   8   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.6 |       1.00       1.00
   8  16384  2048 |      16.5    16.5    16.5 |     18.5    18.5    18.6 |       1.13       1.13
   8  32768  2048 |      22.6    22.6    22.6 |     22.7    22.7    22.7 |       1.00       1.00
  16   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.6 |       1.00       1.01
  16  16384  2048 |      18.1    18.0    18.3 |     20.2    20.1    20.3 |       1.12       1.12
  16  32768  2048 |      22.6    22.6    22.7 |     28.8    28.8    34.9 |       1.27       1.27
  32   8192  2048 |      12.4    12.4    12.4 |     12.4    12.4    12.6 |       1.00       1.00
  32  16384  2048 |      17.9    17.8    21.9 |     20.3    20.1    23.9 |       1.13       1.13
  32  32768  2048 |      39.2    39.1    39.9 |     53.4    53.3    53.4 |       1.36       1.36
--- blk start 2  09:29 ---
   1   8192   512 |      10.4    10.3    10.6 |      8.3     8.3     8.4 |       0.80       0.81
   1   8192  2048 |      10.3    10.3    14.6 |      8.7     8.3    12.0 |       0.84       0.81
   1  16384   512 |      12.7    12.6    13.0 |     10.7    10.6    10.8 |       0.84       0.84
   1  16384  2048 |      14.4    14.4    14.5 |     10.9    10.9    11.1 |       0.76       0.76
   1  32768   512 |      18.5    18.5    18.5 |     18.5    18.5    18.6 |       1.00       1.00
   1  32768  2048 |      20.4    20.4    20.5 |     18.6    18.5    18.6 |       0.91       0.91
   1  65536   512 |      16.5    16.5    16.5 |     20.6    20.6    20.6 |       1.25       1.25
   1  65536  2048 |      16.5    16.5    21.5 |     20.7    20.6    21.8 |       1.25       1.25
  64   8192   512 |      18.5    18.5    23.7 |     14.4    14.4    14.5 |       0.78       0.78
  64   8192  2048 |      20.4    20.4    27.2 |     18.2    15.1    19.9 |       0.89       0.74
  64  16384   512 |      26.7    26.7    28.3 |     21.5    20.6    25.9 |       0.81       0.77
  64  16384  2048 |      29.1    29.0    29.3 |     21.8    21.7    21.9 |       0.75       0.75
  64  32768   512 |      49.3    49.3    54.8 |     59.9    59.8    60.1 |       1.22       1.21
  64  32768  2048 |      57.4    57.4    64.9 |     61.6    61.6    66.0 |       1.07       1.07
  64  65536   512 |     100.5   100.4   106.3 |    116.9   115.8   121.9 |       1.16       1.15
  64  65536  2048 |     110.7   110.7   116.9 |    121.0   121.0   121.0 |       1.09       1.09
   8   8192  2048 |      12.4    12.3    16.9 |     10.3    10.3    10.3 |       0.83       0.83
   8  16384  2048 |      16.5    16.5    20.3 |     12.4    12.4    12.4 |       0.75       0.75
   8  32768  2048 |      21.8    21.7    22.0 |     20.6    20.6    20.6 |       0.95       0.95
  16   8192  2048 |      12.4    12.4    12.4 |     10.4    10.3    10.4 |       0.84       0.83
  16  16384  2048 |      16.5    16.5    16.5 |     12.4    12.4    12.6 |       0.75       0.75
  16  32768  2048 |      22.6    22.6    22.7 |     26.5    24.3    28.9 |       1.17       1.08
  32   8192  2048 |      12.4    12.4    12.4 |     10.3    10.3    10.4 |       0.84       0.83
  32  16384  2048 |      16.5    16.5    16.6 |     12.4    12.4    12.5 |       0.75       0.75
  32  32768  2048 |      40.7    40.6    47.9 |     43.1    43.1    43.1 |       1.06       1.06
--- base start 3  09:29 ---
   1   8192   512 |      10.3    10.3    10.5 |     10.7    10.5    10.7 |       1.04       1.02
   1   8192  2048 |      10.3    10.3    10.3 |     10.7    10.6    10.7 |       1.03       1.03
   1  16384   512 |      12.4    12.4    12.4 |     16.2    16.1    16.3 |       1.31       1.31
   1  16384  2048 |      14.2    14.2    14.3 |     16.4    16.4    16.5 |       1.15       1.16
   1  32768   512 |      18.5    18.5    18.6 |     20.6    20.6    21.9 |       1.11       1.11
   1  32768  2048 |      20.6    20.6    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.5 |     23.9    23.8    23.9 |       1.45       1.45
   1  65536  2048 |      16.8    16.6    18.0 |     24.7    24.7    24.7 |       1.47       1.49
  64   8192   512 |      18.5    18.5    18.6 |     21.8    20.6    27.3 |       1.17       1.11
  64   8192  2048 |      18.6    18.5    26.9 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.6    26.6    29.8 |     32.9    32.8    37.4 |       1.23       1.24
  64  16384  2048 |      30.2    30.1    30.4 |     32.9    32.9    32.9 |       1.09       1.09
  64  32768   512 |      49.4    49.3    57.5 |     75.9    75.9    75.9 |       1.54       1.54
  64  32768  2048 |      57.4    57.4    65.0 |     78.0    77.9    83.7 |       1.36       1.36
  64  65536   512 |     100.5   100.5   100.6 |    149.9   149.7   155.3 |       1.49       1.49
  64  65536  2048 |     117.7   117.7   124.1 |    162.1   162.0   162.2 |       1.38       1.38
   8   8192  2048 |      12.3    12.3    12.4 |     12.4    12.4    12.4 |       1.01       1.01
