2026/09/25 03:21:50.460, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:50.711, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:50.961, 2528 MHz, 30.71 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.211, 2528 MHz, 30.71 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.462, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.712, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.962, 2528 MHz, 30.75 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.212, 2528 MHz, 30.75 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.462, 2528 MHz, 30.76 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.713, 2528 MHz, 30.76 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.963, 2528 MHz, 30.51 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:53.214, 2528 MHz, 30.51 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:53.464, 2528 MHz, 30.45 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:53.714, 2528 MHz, 30.45 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:53.964, 2528 MHz, 30.60 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.214, 2528 MHz, 30.60 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.465, 2528 MHz, 30.61 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.715, 2528 MHz, 30.61 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.965, 2528 MHz, 30.73 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.215, 2528 MHz, 30.73 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.465, 2528 MHz, 30.64 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.716, 2528 MHz, 30.64 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.966, 2528 MHz, 30.62 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.216, 2528 MHz, 30.62 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.466, 2528 MHz, 30.82 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.716, 2528 MHz, 30.82 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.967, 2528 MHz, 30.96 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:57.217, 2528 MHz, 30.96 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:57.467, 2528 MHz, 30.87 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:57.717, 2528 MHz, 30.87 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:57.967, 2528 MHz, 30.67 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:58.217, 2528 MHz, 30.67 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:58.468, 2528 MHz, 30.72 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:58.718, 2528 MHz, 30.72 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:58.968, 2528 MHz, 30.84 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:59.218, 2528 MHz, 30.84 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:59.469, 2528 MHz, 30.82 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:59.719, 2528 MHz, 30.82 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:59.969, 2528 MHz, 30.65 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:22:00.219, 2528 MHz, 30.65 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:22:00.469, 2528 MHz, 30.67 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:00.720, 2528 MHz, 30.67 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:00.970, 2528 MHz, 30.66 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:01.220, 2528 MHz, 30.66 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:01.470, 2528 MHz, 30.81 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:01.721, 2528 MHz, 30.81 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:01.971, 2528 MHz, 30.86 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:02.221, 2528 MHz, 30.86 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:02.471, 2528 MHz, 30.83 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:02.721, 2528 MHz, 30.83 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:02.972, 2528 MHz, 30.81 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:03.222, 2528 MHz, 30.81 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:03.472, 2528 MHz, 31.00 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:03.723, 2528 MHz, 31.00 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:03.973, 2528 MHz, 31.17 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:04.223, 2528 MHz, 31.17 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:04.474, 2528 MHz, 31.07 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:04.724, 2528 MHz, 31.07 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:04.974, 2528 MHz, 31.06 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:05.225, 2528 MHz, 31.06 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:05.475, 2528 MHz, 30.93 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:05.725, 2528 MHz, 30.93 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:05.975, 2528 MHz, 30.83 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:06.226, 2528 MHz, 30.83 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:06.476, 2528 MHz, 30.90 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:06.726, 2528 MHz, 30.90 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:06.976, 2528 MHz, 30.96 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:07.227, 2528 MHz, 30.96 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:07.477, 2528 MHz, 30.92 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:07.727, 2528 MHz, 30.92 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:07.977, 2528 MHz, 30.90 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:08.227, 2528 MHz, 30.90 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:08.478, 2528 MHz, 31.02 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:08.728, 2528 MHz, 31.02 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:08.978, 2528 MHz, 31.04 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:09.228, 2528 MHz, 31.04 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:09.478, 2528 MHz, 30.87 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:09.729, 2528 MHz, 30.87 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:09.979, 2528 MHz, 30.95 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:10.229, 2528 MHz, 30.95 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:10.479, 2528 MHz, 31.05 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:10.729, 2528 MHz, 31.05 W, 48, 0x0000000000000000, 95 %
2026/09/25 03:22:10.980, 2528 MHz, 30.98 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:11.230, 2528 MHz, 30.98 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:11.480, 2528 MHz, 31.00 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:11.730, 2528 MHz, 31.00 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:11.980, 2528 MHz, 31.10 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:12.231, 2528 MHz, 31.10 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:12.481, 2528 MHz, 31.15 W, 49, 0x0000000000000000, 95 %
