=== start a 11:57 ===
    K      N   w/L2     M  A MiB |  sw1 TF  sw8 TF | best   gain8% | ident
 5120   5376  1.094  2048   10.0 |   175.2   159.8 |    1     -8.8 | True
 5120   5376  1.094  4096   20.0 |   108.7   157.0 |    8    +44.5 | True
 5120   5376  1.094  6144   30.0 |   103.3   174.6 |    8    +69.0 | True
 5120   6400  1.302  2048   10.0 |   181.9   164.3 |    1     -9.6 | True
 5120   6400  1.302  4096   20.0 |   110.4   161.9 |    8    +46.6 | True
 5120   6400  1.302  6144   30.0 |    53.5   160.5 |    8   +199.8 | True
 5120   8320  1.693  2048   10.0 |   175.1   170.1 |    1     -2.9 | True
 5120   8320  1.693  4096   20.0 |   116.2   164.5 |    8    +41.6 | True
 5120   8320  1.693  6144   30.0 |    56.6   167.8 |    8   +196.6 | True
== ALL DONE ==
=== start b 11:57 ===
    K      N   w/L2     M  A MiB |  sw1 TF  sw8 TF | best   gain8% | ident
 2560   6912  0.703  2048    5.0 |   159.9   169.4 |    8     +6.0 | True
 2560   6912  0.703  4096   10.0 |   162.8   159.9 |    1     -1.7 | True
 2560   6912  0.703  6144   15.0 |   132.2   143.9 |    8     +8.9 | True
 2560   8320  0.846  2048    5.0 |   158.0   169.0 |    8     +6.9 | True
 2560   8320  0.846  4096   10.0 |   156.5   154.5 |    1     -1.2 | True
 2560   8320  0.846  6144   15.0 |   127.1   147.1 |    8    +15.8 | True
 2560   9088  0.924  2048    5.0 |   160.7   157.5 |    1     -2.0 | True
 2560   9088  0.924  4096   10.0 |   158.3   151.1 |    1     -4.5 | True
 2560   9088  0.924  6144   15.0 |   134.8   150.9 |    8    +12.0 | True
 2560   9472  0.964  2048    5.0 |   162.1   168.5 |    8     +4.0 | True
 2560   9472  0.964  4096   10.0 |   155.9   146.3 |    1     -6.2 | True
 2560   9472  0.964  6144   15.0 |   141.7   147.6 |    8     +4.2 | True
 2560   9728  0.990  2048    5.0 |   159.1   167.2 |    8     +5.1 | True
 2560   9728  0.990  4096   10.0 |   160.8   148.2 |    1     -7.9 | True
 2560   9728  0.990  6144   15.0 |   143.6   149.9 |    8     +4.4 | True
 2560   9984  1.016  2048    5.0 |   162.7   169.7 |    8     +4.3 | True
 2560   9984  1.016  4096   10.0 |   157.5   146.6 |    1     -6.9 | True
 2560   9984  1.016  6144   15.0 |   129.5   148.8 |    8    +14.9 | True
 2560  10240  1.042  2048    5.0 |   160.0   156.9 |    1     -1.9 | True
 2560  10240  1.042  4096   10.0 |   162.4   152.0 |    1     -6.4 | True
 2560  10240  1.042  6144   15.0 |   143.3   152.2 |    8     +6.1 | True
 2560  10752  1.094  2048    5.0 |   161.4   159.2 |    1     -1.4 | True
 2560  10752  1.094  4096   10.0 |   163.0   154.9 |    1     -4.9 | True
 2560  10752  1.094  6144   15.0 |   152.4   150.9 |    1     -1.0 | True
 2560  12800  1.302  2048    5.0 |   160.8   156.9 |    1     -2.4 | True
 2560  12800  1.302  4096   10.0 |   157.8   154.2 |    1     -2.3 | True
 2560  12800  1.302  6144   15.0 |   134.4   150.2 |    8    +11.8 | True
 2560  16768  1.706  2048    5.0 |   162.7   158.6 |    1     -2.5 | True
 2560  16768  1.706  4096   10.0 |   158.0   156.5 |    1     -0.9 | True
 2560  16768  1.706  6144   15.0 |   148.5   152.2 |    8     +2.4 | True
 4096   4352  0.708  2048    8.0 |   171.9   168.3 |    1     -2.1 | True
 4096   4352  0.708  4096   16.0 |   165.2   157.0 |    1     -5.0 | True
 4096   4352  0.708  6144   24.0 |   158.9   159.1 |    8     +0.1 | True
 4096   5248  0.854  2048    8.0 |   175.8   168.5 |    1     -4.2 | True
 4096   5248  0.854  4096   16.0 |   141.7   161.4 |    8    +13.9 | True
 4096   5248  0.854  6144   24.0 |   136.1   171.8 |    8    +26.3 | True
 4096   5632  0.917  2048    8.0 |   176.5   165.9 |    1     -6.0 | True
 4096   5632  0.917  4096   16.0 |   152.4   158.5 |    8     +4.0 | True
 4096   5632  0.917  6144   24.0 |    86.4   167.4 |    8    +93.7 | True
 4096   5888  0.958  2048    8.0 |   174.1   162.9 |    1     -6.4 | True
 4096   5888  0.958  4096   16.0 |   149.4   157.1 |    8     +5.1 | True
 4096   5888  0.958  6144   24.0 |    74.8   170.3 |    8   +127.7 | True
 4096   6144  1.000  2048    8.0 |   180.9   159.6 |    1    -11.8 | True
 4096   6144  1.000  4096   16.0 |   159.1   163.4 |    8     +2.7 | True
 4096   6144  1.000  6144   24.0 |    71.9   167.7 |    8   +133.4 | True
 4096   6400  1.042  2048    8.0 |   178.3   165.2 |    1     -7.4 | True
 4096   6400  1.042  4096   16.0 |   153.2   161.0 |    8     +5.1 | True
 4096   6400  1.042  6144   24.0 |    62.9   157.2 |    8   +149.8 | True
 4096   6784  1.104  2048    8.0 |   178.2   167.8 |    1     -5.8 | True
 4096   6784  1.104  4096   16.0 |   146.5   161.4 |    8    +10.2 | True
 4096   6784  1.104  6144   24.0 |    64.5   144.1 |    8   +123.4 | True
 4096   7936  1.292  2048    8.0 |   171.3   166.8 |    1     -2.6 | True
 4096   7936  1.292  4096   16.0 |   150.0   160.3 |    8     +6.9 | True
 4096   7936  1.292  6144   24.0 |    64.7   145.1 |    8   +124.1 | True
 4096  10496  1.708  2048    8.0 |   173.2   165.7 |    1     -4.4 | True
 4096  10496  1.708  4096   16.0 |   156.3   162.4 |    8     +3.9 | True
 4096  10496  1.708  6144   24.0 |    62.7   163.3 |    8   +160.5 | True
