=== start 1 (15:41:16) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.1     6.1     6.4 |      6.7     6.6     6.8 |       1.09       1.09
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       8.3     8.2     8.3 |      7.6     7.2     7.8 |       0.91       0.87
   1   8192   512 |      10.3    10.3    10.5 |     10.4    10.4    10.4 |       1.01       1.01
   1   8192  2048 |      10.3    10.3    10.3 |     10.4    10.4    10.4 |       1.01       1.01
   1  16384   512 |      12.4    12.4    12.5 |     16.5    16.5    16.5 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    18.5 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.6    20.5    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.6 |     23.4    23.3    23.4 |       1.42       1.42
   1  65536  2048 |      16.8    16.7    16.8 |     24.6    24.5    24.6 |       1.47       1.47
  64   1024   512 |      14.4    14.4    20.4 |      9.6     9.5     9.6 |       0.67       0.66
  64   4096   512 |      16.5    16.4    16.7 |     14.5    14.5    14.5 |       0.88       0.88
  64   4096  2048 |      12.4    12.4    12.6 |     15.9    14.3    19.7 |       1.28       1.16
  64   8192   512 |      18.5    18.5    23.9 |     20.6    20.6    20.6 |       1.11       1.11
  64   8192  2048 |      18.5    18.5    18.7 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      25.7    25.5    28.8 |     32.0    32.0    32.3 |       1.25       1.25
  64  16384  2048 |      28.8    28.8    32.3 |     32.9    32.8    32.9 |       1.14       1.14
  64  32768   512 |      49.3    49.2    56.4 |     75.8    75.8    82.4 |       1.54       1.54
  64  32768  2048 |      56.7    56.5    56.8 |     77.4    77.3    83.0 |       1.36       1.37
  64  65536   512 |      98.9    98.9    99.3 |    147.7   147.7   152.9 |       1.49       1.49
  64  65536  2048 |     110.0   109.8   111.9 |    153.7   153.6   153.7 |       1.40       1.40
   2   8192  2048 |      12.2    12.2    12.4 |     12.4    12.4    12.4 |       1.01       1.02
   2  16384  2048 |      16.5    16.4    16.5 |     18.5    18.5    18.5 |       1.13       1.13
   2  32768  2048 |      20.6    20.6    20.7 |     24.1    22.6    28.9 |       1.17       1.10
   4   8192  2048 |      12.4    12.3    13.6 |     12.4    12.4    12.4 |       1.00       1.01
   4  16384  2048 |      16.5    16.5    22.8 |     18.6    18.5    18.6 |       1.13       1.13
   4  32768  2048 |      21.2    21.1    21.4 |     22.6    22.6    22.7 |       1.07       1.07
   8   8192  2048 |      12.3    12.2    12.4 |     12.4    12.4    12.4 |       1.01       1.01
   8  16384  2048 |      16.5    16.5    16.5 |     19.1    18.8    19.3 |       1.16       1.14
   8  32768  2048 |      21.7    21.6    21.8 |     22.7    22.6    22.7 |       1.05       1.05
  16   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  16  16384  2048 |      16.5    16.5    16.7 |     18.6    18.5    18.6 |       1.12       1.13
  16  32768  2048 |      22.6    22.6    28.2 |     28.8    28.8    32.3 |       1.27       1.28
  24   8192  2048 |      12.4    12.3    16.0 |     12.5    12.5    18.7 |       1.01       1.01
