=== start 1 (15:41:16) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
  24  16384  2048 |      16.8    16.5    16.9 |     19.5    19.4    19.6 |       1.16       1.18
  24  32768  2048 |      24.0    22.6    29.9 |     52.4    52.2    52.4 |       2.18       2.31
  32   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  32  16384  2048 |      16.7    16.7    16.9 |     19.6    19.3    19.7 |       1.17       1.16
  32  32768  2048 |      39.1    39.0    46.2 |     53.4    53.4    61.2 |       1.37       1.37
  48   8192  2048 |      12.4    12.4    12.4 |     13.4    13.4    13.5 |       1.08       1.08
  48  16384  2048 |      18.5    18.5    18.5 |     20.6    20.6    20.8 |       1.11       1.11
  48  32768  2048 |      39.0    39.0    39.1 |     76.2    76.0    80.6 |       1.95       1.95
=== start 2 (15:41:20) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.2     6.1     6.9 |      6.9     6.8     7.0 |       1.11       1.11
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.4 |       1.00       1.00
   1   4096  2048 |       6.2     6.2     6.4 |      7.0     7.0     7.7 |       1.12       1.12
   1   8192   512 |      10.3    10.3    10.5 |     10.6    10.4    10.6 |       1.02       1.01
   1   8192  2048 |      10.3    10.3    10.3 |     10.5    10.5    10.5 |       1.02       1.02
   1  16384   512 |      12.4    12.4    12.4 |     15.8    15.7    15.9 |       1.28       1.27
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.3    18.2    18.4 |     20.6    20.6    20.6 |       1.13       1.13
   1  32768  2048 |      20.5    20.5    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    22.7 |     22.7    22.7    22.9 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    16.7 |     23.6    23.6    23.7 |       1.43       1.43
  64   1024   512 |      12.4    12.4    12.4 |      9.6     9.5     9.8 |       0.77       0.77
  64   4096   512 |      16.5    16.4    21.7 |     14.6    14.4    18.2 |       0.88       0.88
  64   4096  2048 |      12.4    12.4    19.3 |     14.2    14.1    14.2 |       1.14       1.14
  64   8192   512 |      18.5    18.5    20.2 |     20.6    20.6    20.6 |       1.11       1.11
  64   8192  2048 |      18.5    18.5    23.4 |     20.6    20.6    20.7 |       1.11       1.11
  64  16384   512 |      26.2    26.0    27.3 |     32.5    32.4    38.2 |       1.24       1.24
  64  16384  2048 |      30.3    30.0    34.6 |     32.9    32.9    32.9 |       1.09       1.10
  64  32768   512 |      49.3    49.2    54.6 |     75.8    75.7    75.8 |       1.54       1.54
  64  32768  2048 |      55.4    55.4    59.5 |     76.3    76.2    80.7 |       1.38       1.38
  64  65536   512 |     100.0    99.9   108.9 |    147.6   147.6   147.7 |       1.48       1.48
  64  65536  2048 |     108.9   108.8   117.5 |    153.4   153.2   153.5 |       1.41       1.41
   2   8192  2048 |      12.1    12.0    12.2 |     12.4    12.4    12.4 |       1.03       1.03
   2  16384  2048 |      16.4    16.4    16.5 |     18.5    18.5    18.5 |       1.13       1.13
   2  32768  2048 |      22.6    22.6    27.1 |     22.6    22.6    23.5 |       1.00       1.00
   4   8192  2048 |      12.2    12.2    12.3 |     12.4    12.4    12.4 |       1.01       1.01
   4  16384  2048 |      16.5    16.4    16.5 |     18.6    18.5    18.7 |       1.13       1.13
   4  32768  2048 |      20.9    20.8    24.3 |     22.6    22.6    27.6 |       1.08       1.08
   8   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.01
   8  16384  2048 |      16.5    16.5    16.5 |     19.4    19.3    19.4 |       1.18       1.17
   8  32768  2048 |      22.3    22.2    22.4 |     22.7    22.6    22.7 |       1.02       1.02
  16   8192  2048 |      12.4    12.4    12.4 |     12.8    12.6    13.1 |       1.03       1.02
  16  16384  2048 |      17.3    17.0    22.9 |     19.7    19.4    19.7 |       1.14       1.15
  16  32768  2048 |      22.6    22.6    22.6 |     28.8    28.8    28.9 |       1.27       1.27
  24   8192  2048 |      12.4    12.3    18.2 |     12.4    12.4    12.4 |       1.00       1.00
  24  16384  2048 |      17.7    17.2    21.9 |     19.4    19.3    19.5 |       1.10       1.12
  24  32768  2048 |      22.6    22.6    27.4 |     51.6    51.5    51.6 |       2.28       2.28
  32   8192  2048 |      12.4    12.4    12.6 |     12.4    12.4    12.4 |       1.00       1.00
  32  16384  2048 |      17.0    16.8    22.9 |     19.7    19.6    23.0 |       1.16       1.16
  32  32768  2048 |      39.0    39.0    45.2 |     53.3    53.3    59.2 |       1.37       1.37
  48   8192  2048 |      12.4    12.4    16.1 |     12.4    12.4    12.4 |       1.00       1.00
  48  16384  2048 |      17.6    17.4    17.9 |     18.5    18.5    18.6 |       1.05       1.07
  48  32768  2048 |      39.5    39.3    45.2 |     75.9    75.9    80.5 |       1.92       1.93
=== start 3 (15:41:23) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.3     6.0    11.6 |      6.5     6.5     6.7 |       1.03       1.08
   1   4096   512 |       8.3     8.3     8.4 |      8.2     8.1     8.3 |       0.99       0.98
   1   4096  2048 |       6.2     6.1     6.3 |      7.8     7.6     8.0 |       1.25       1.24
   1   8192   512 |      10.3    10.3    10.3 |     10.4    10.4    10.4 |       1.01       1.01
   1   8192  2048 |      10.3    10.3    10.5 |     10.4    10.4    10.4 |       1.01       1.00
   1  16384   512 |      12.4    12.4    12.5 |     16.5    16.5    16.5 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    18.5 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.5    20.5    20.7 |     22.5    20.6    24.4 |       1.09       1.01
   1  65536   512 |      16.5    16.5    16.5 |     22.7    22.6    22.7 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    16.6 |     23.8    23.7    25.5 |       1.44       1.44
  64   1024   512 |      12.4    12.4    16.7 |      8.5     8.3    12.9 |       0.68       0.67
  64   4096   512 |      16.5    16.5    16.5 |     14.5    14.4    14.5 |       0.88       0.88
  64   4096  2048 |      14.5    14.5    19.4 |     14.3    14.1    14.4 |       0.99       0.98
  64   8192   512 |      18.5    18.5    18.7 |     21.7    20.5    25.1 |       1.17       1.11
  64   8192  2048 |      19.3    18.7    24.7 |     20.6    20.6    20.6 |       1.07       1.10
  64  16384   512 |      26.4    26.3    30.8 |     32.9    32.8    33.9 |       1.24       1.25
  64  16384  2048 |      29.9    29.9    30.1 |     34.0    32.9    36.9 |       1.13       1.10
  64  32768   512 |      49.2    49.2    58.0 |     75.7    75.5    75.8 |       1.54       1.53
  64  32768  2048 |      55.4    55.4    61.3 |     76.1    76.0    76.2 |       1.37       1.37
  64  65536   512 |      98.6    98.5    98.7 |    147.8   147.7   147.8 |       1.50       1.50
  64  65536  2048 |     111.3   111.2   122.8 |    155.5   155.4   155.6 |       1.40       1.40
   2   8192  2048 |      12.1    11.9    12.2 |     12.4    12.4    12.4 |       1.03       1.04
   2  16384  2048 |      16.5    16.4    17.6 |     18.5    18.5    18.5 |       1.12       1.13
   2  32768  2048 |      20.6    20.6    25.8 |     22.6    22.6    22.6 |       1.10       1.10
   4   8192  2048 |      12.3    12.2    19.0 |     12.6    12.4    16.4 |       1.03       1.02
   4  16384  2048 |      16.5    16.4    22.5 |     18.6    18.5    18.6 |       1.13       1.13
   4  32768  2048 |      20.7    20.7    22.3 |     22.6    22.6    22.7 |       1.09       1.09
   8   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.6 |       1.00       1.01
   8  16384  2048 |      16.5    16.5    16.5 |     18.5    18.5    18.6 |       1.13       1.12
   8  32768  2048 |      21.5    21.5    21.8 |     22.6    22.6    22.7 |       1.05       1.05
  16   8192  2048 |      12.4    12.4    12.4 |     12.4    12.4    12.5 |       1.00       1.00
  16  16384  2048 |      16.9    16.8    22.6 |     18.9    18.8    19.0 |       1.11       1.12
  16  32768  2048 |      22.6    22.6    29.7 |     28.8    28.7    28.8 |       1.27       1.27
  24   8192  2048 |      12.4    12.4    12.5 |     12.4    12.4    12.4 |       1.00       1.00
  24  16384  2048 |      16.6    16.5    16.8 |     21.7    19.1    25.8 |       1.31       1.15
  24  32768  2048 |      22.6    22.6    22.7 |     51.9    51.8    56.9 |       2.29       2.29
  32   8192  2048 |      12.4    12.4    19.7 |     12.8    12.7    13.2 |       1.04       1.02
  32  16384  2048 |      17.1    17.0    17.2 |     19.3    19.1    19.4 |       1.13       1.12
  32  32768  2048 |      39.0    39.0    39.8 |     53.3    53.3    59.7 |       1.37       1.37
  48   8192  2048 |      12.4    12.4    18.3 |     14.2    14.1    14.2 |       1.14       1.14
  48  16384  2048 |      18.5    18.5    18.7 |     20.6    20.5    20.6 |       1.11       1.11
  48  32768  2048 |      39.0    39.0    39.3 |     75.9    75.9    79.8 |       1.95       1.95
== ALL DONE == 15:41
