=== start 1 (15:42:34) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.1     6.0     6.4 |      6.7     6.6     6.9 |       1.10       1.11
   1   4096   512 |       8.3     8.3     8.4 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       6.2     6.1     6.3 |      8.2     8.2     8.2 |       1.33       1.34
   1   8192   512 |      10.3    10.3    10.4 |     11.3    11.2    11.3 |       1.09       1.09
   1   8192  2048 |       8.3     8.3     8.4 |     10.4    10.3    10.4 |       1.24       1.24
   1  16384   512 |      12.5    12.4    12.6 |     16.5    16.5    16.6 |       1.32       1.33
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.6 |       1.15       1.14
   1  32768   512 |      18.3    18.2    18.5 |     20.6    20.6    20.6 |       1.13       1.13
   1  32768  2048 |      20.4    20.3    20.5 |     20.6    20.6    20.6 |       1.01       1.01
   1  65536   512 |      16.5    16.5    19.7 |     22.7    22.6    25.4 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    16.5 |     23.4    23.4    23.5 |       1.42       1.42
  64   1024   512 |      11.0    10.9    11.3 |      8.3     8.3     8.5 |       0.76       0.77
  64   4096   512 |      16.5    16.4    21.0 |     14.5    14.5    14.5 |       0.88       0.88
  64   4096  2048 |      13.1    13.1    17.8 |     14.4    14.4    14.5 |       1.10       1.10
  64   8192   512 |      18.5    18.5    18.7 |     22.0    20.6    26.5 |       1.19       1.11
  64   8192  2048 |      18.5    18.5    18.6 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.5    26.3    31.3 |     32.9    32.9    32.9 |       1.24       1.25
  64  16384  2048 |      30.8    30.8    30.8 |     35.5    34.8    39.7 |       1.15       1.13
  64  32768   512 |      49.2    49.2    57.3 |     75.3    75.2    75.4 |       1.53       1.53
  64  32768  2048 |      57.4    57.4    65.5 |     76.0    75.9    80.2 |       1.32       1.32
  64  65536   512 |      98.5    98.5    98.6 |    147.6   147.5   151.8 |       1.50       1.50
  64  65536  2048 |     110.7   110.7   120.3 |    154.8   154.5   162.6 |       1.40       1.40
   2   8192  2048 |      12.0    12.0    12.1 |     12.4    12.4    12.5 |       1.04       1.04
   2  16384  2048 |      16.4    16.3    21.2 |     18.5    18.5    18.5 |       1.13       1.13
   2  32768  2048 |      20.6    20.6    22.4 |     22.6    22.6    22.7 |       1.10       1.10
   4   8192  2048 |      12.4    12.4    17.6 |     12.4    12.4    13.8 |       1.00       1.00
   4  16384  2048 |      16.5    16.4    21.3 |     18.6    18.5    18.6 |       1.13       1.13
   4  32768  2048 |      21.1    20.9    21.3 |     22.6    22.6    22.7 |       1.07       1.08
   8   8192  2048 |      12.2    12.2    12.4 |     12.4    12.4    12.5 |       1.01       1.02
   8  16384  2048 |      16.5    16.5    16.5 |     18.5    18.5    18.6 |       1.13       1.13
   8  32768  2048 |      22.5    22.4    28.6 |     22.7    22.6    22.7 |       1.01       1.01
  16   8192  2048 |      12.4    12.4    16.0 |     12.4    12.4    12.4 |       1.00       1.00
  16  16384  2048 |      16.5    16.5    16.7 |     18.5    18.5    18.6 |       1.12       1.12
  16  32768  2048 |      22.6    22.6    27.9 |     28.8    28.8    28.8 |       1.27       1.27
  24   8192  2048 |      12.4    12.4    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  24  16384  2048 |      18.4    18.3    18.5 |     22.1    20.6    25.0 |       1.20       1.12
  24  32768  2048 |      22.6    22.6    22.6 |     51.4    51.3    55.3 |       2.27       2.27
  32   8192  2048 |      12.4    12.4    14.3 |     15.1    12.4    17.4 |       1.22       1.00
  32  16384  2048 |      16.6    16.5    16.7 |     20.6    20.5    20.6 |       1.24       1.24
  32  32768  2048 |      39.0    39.0    48.7 |     53.2    53.2    56.4 |       1.36       1.36
  48   8192  2048 |      12.5    12.4    14.9 |     16.1    14.4    18.9 |       1.29       1.16
  48  16384  2048 |      18.5    18.5    24.7 |     20.6    20.6    20.6 |       1.11       1.11
  48  32768  2048 |      39.2    39.2    45.8 |     76.1    75.9    82.1 |       1.94       1.94
=== start 2 (15:42:38) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.3     6.1     6.7 |      6.8     6.8     6.9 |       1.08       1.11
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.01
   1   4096  2048 |       6.4     6.3     6.5 |      8.2     8.1     8.2 |       1.29       1.30
   1   8192   512 |      10.3    10.3    10.4 |     11.6    11.5    11.6 |       1.12       1.11
   1   8192  2048 |      10.3    10.3    10.3 |     11.5    11.4    11.6 |       1.11       1.10
   1  16384   512 |      12.4    12.4    12.4 |     16.5    16.4    16.6 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    14.5 |     16.7    16.6    16.7 |       1.15       1.15
   1  32768   512 |      18.5    18.5    18.7 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.5    20.4    20.5 |     20.6    20.6    20.7 |       1.01       1.01
   1  65536   512 |      16.5    16.5    16.5 |     22.7    22.6    22.7 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    22.4 |     23.7    23.7    23.8 |       1.44       1.44
  64   1024   512 |      12.4    12.4    12.4 |     10.3    10.3    10.3 |       0.83       0.83
  64   4096   512 |      16.4    16.4    16.5 |     14.5    14.5    14.5 |       0.88       0.88
  64   4096  2048 |      13.2    13.1    13.3 |     14.4    14.4    14.4 |       1.10       1.10
  64   8192   512 |      18.5    18.5    23.1 |     20.6    20.6    21.3 |       1.11       1.11
  64   8192  2048 |      18.5    18.5    18.7 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.4    26.3    26.4 |     33.5    32.8    36.6 |       1.27       1.25
  64  16384  2048 |      28.8    28.8    28.9 |     32.9    32.9    32.9 |       1.14       1.14
  64  32768   512 |      49.3    49.3    57.7 |     75.6    75.6    83.5 |       1.53       1.53
  64  32768  2048 |      57.3    57.3    65.1 |     76.1    76.0    80.6 |       1.33       1.33
  64  65536   512 |      98.7    98.6   106.5 |    147.6   147.6   154.1 |       1.50       1.50
  64  65536  2048 |     108.6   108.6   110.0 |    152.0   151.8   156.7 |       1.40       1.40
   2   8192  2048 |      12.2    12.0    12.3 |     12.4    12.4    12.6 |       1.02       1.03
   2  16384  2048 |      16.5    16.5    16.5 |     20.6    20.6    20.6 |       1.25       1.25
   2  32768  2048 |      21.6    21.5    26.3 |     22.6    22.6    22.7 |       1.05       1.05
   4   8192  2048 |      12.3    12.2    15.7 |     12.4    12.4    12.4 |       1.01       1.02
   4  16384  2048 |      16.5    16.4    18.6 |     18.5    18.5    18.8 |       1.13       1.13
   4  32768  2048 |      22.6    22.6    26.6 |     22.6    22.6    22.6 |       1.00       1.00
   8   8192  2048 |      12.3    12.3    12.4 |     12.4    12.4    12.4 |       1.01       1.01
   8  16384  2048 |      16.5    16.5    16.7 |     20.6    20.6    20.6 |       1.25       1.25
   8  32768  2048 |      20.8    20.8    21.0 |     22.7    22.7    22.7 |       1.09       1.09
  16   8192  2048 |      12.3    12.3    12.5 |     12.4    12.4    12.4 |       1.00       1.00
  16  16384  2048 |      16.5    16.5    16.7 |     21.0    18.5    22.8 |       1.27       1.13
  16  32768  2048 |      22.6    22.6    22.6 |     28.8    28.8    28.8 |       1.27       1.27
  24   8192  2048 |      12.3    12.3    12.4 |     12.4    12.4    12.4 |       1.01       1.01
  24  16384  2048 |      16.5    16.5    22.3 |     18.7    18.5    21.7 |       1.13       1.12
  24  32768  2048 |      22.6    22.6    22.7 |     51.4    51.3    56.8 |       2.27       2.27
  32   8192  2048 |      12.4    12.4    12.6 |     14.4    14.4    14.4 |       1.16       1.17
  32  16384  2048 |      16.5    16.5    16.9 |     18.6    18.5    18.6 |       1.13       1.12
  32  32768  2048 |      39.0    39.0    46.4 |     53.3    53.2    59.7 |       1.37       1.37
  48   8192  2048 |      12.4    12.4    13.2 |     15.5    14.4    20.8 |       1.25       1.16
  48  16384  2048 |      17.6    17.5    17.7 |     18.6    18.6    18.6 |       1.06       1.06
  48  32768  2048 |      39.0    39.0    39.1 |     75.9    75.9    75.9 |       1.95       1.95
=== start 3 (15:42:41) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       8.3     8.2     8.4 |      6.7     6.6     6.9 |       0.82       0.80
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       6.2     6.1     6.6 |      8.2     8.2     8.3 |       1.33       1.34
   1   8192   512 |      10.3    10.3    11.7 |     11.5    11.3    11.6 |       1.11       1.10
   1   8192  2048 |      10.3    10.3    10.3 |     11.3    11.2    11.3 |       1.09       1.09
   1  16384   512 |      12.4    12.4    12.5 |     16.5    16.5    16.5 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    14.4 |     16.5    16.5    16.5 |       1.15       1.15
   1  32768   512 |      18.5    18.5    18.6 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.4    20.4    20.5 |     20.6    20.6    20.6 |       1.01       1.01
   1  65536   512 |      16.5    16.5    16.6 |     23.2    23.2    23.3 |       1.41       1.41
   1  65536  2048 |      16.5    16.5    16.5 |     24.5    24.4    24.6 |       1.49       1.48
  64   1024   512 |      12.4    12.4    12.6 |     10.3    10.3    10.4 |       0.83       0.84
  64   4096   512 |      16.5    16.5    17.6 |     15.9    14.5    20.5 |       0.97       0.88
  64   4096  2048 |      12.4    12.4    12.5 |     14.4    14.4    14.5 |       1.17       1.16
  64   8192   512 |      18.5    18.5    22.3 |     22.2    21.9    22.2 |       1.20       1.19
  64   8192  2048 |      18.5    18.5    23.9 |     20.6    20.6    23.9 |       1.11       1.11
  64  16384   512 |      26.7    26.7    26.7 |     34.4    34.1    38.3 |       1.29       1.28
  64  16384  2048 |      28.8    28.8    35.1 |     32.9    32.9    32.9 |       1.14       1.14
  64  32768   512 |      49.2    49.2    54.7 |     75.8    75.7    79.5 |       1.54       1.54
  64  32768  2048 |      55.5    55.4    56.1 |     76.8    76.6    80.0 |       1.38       1.38
  64  65536   512 |      99.6    99.4   104.8 |    147.7   147.7   152.9 |       1.48       1.49
  64  65536  2048 |     110.6   110.5   119.9 |    153.7   153.7   153.8 |       1.39       1.39
   2   8192  2048 |      12.4    12.4    12.4 |     14.3    14.2    14.4 |       1.15       1.15
   2  16384  2048 |      16.5    16.5    16.5 |     18.6    18.5    18.6 |       1.13       1.13
   2  32768  2048 |      20.6    20.6    24.2 |     22.6    22.6    23.4 |       1.10       1.10
   4   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.01
   4  16384  2048 |      16.5    16.5    16.5 |     18.6    18.5    18.6 |       1.13       1.13
   4  32768  2048 |      20.6    20.6    20.7 |     22.6    22.6    22.6 |       1.10       1.10
   8   8192  2048 |      12.3    12.3    12.4 |     12.4    12.4    12.4 |       1.01       1.01
   8  16384  2048 |      16.5    16.5    16.5 |     18.6    18.5    18.6 |       1.13       1.13
   8  32768  2048 |      20.8    20.6    20.8 |     22.6    22.6    22.7 |       1.09       1.10
  16   8192  2048 |      12.4    12.4    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  16  16384  2048 |      18.2    18.1    18.4 |     20.6    20.6    20.6 |       1.13       1.13
  16  32768  2048 |      22.6    22.6    22.6 |     29.0    28.8    34.8 |       1.28       1.27
  24   8192  2048 |      12.4    12.4    13.7 |     12.4    12.4    12.4 |       1.00       1.00
  24  16384  2048 |      16.7    16.6    22.9 |     20.6    20.6    20.6 |       1.23       1.24
