=== start 1 (15:40:26) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.3     6.1     6.5 |      6.9     6.7     7.0 |       1.09       1.09
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.4 |       1.00       1.01
   1   4096  2048 |       6.3     6.3     6.4 |      8.1     8.1     8.1 |       1.29       1.29
   1   8192   512 |      10.3    10.3    10.5 |     12.4    12.4    12.4 |       1.20       1.20
   1   8192  2048 |      10.3    10.3    10.3 |     11.4    11.4    11.4 |       1.10       1.10
   1  16384   512 |      12.6    12.5    12.7 |     16.5    16.5    16.7 |       1.32       1.32
   1  16384  2048 |      14.4    14.4    14.5 |     16.6    16.6    16.7 |       1.15       1.15
   1  32768   512 |      18.5    18.5    18.5 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.6    20.6    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.5 |     22.7    22.6    22.7 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    16.5 |     23.3    23.1    23.3 |       1.41       1.40
  64   1024   512 |      12.4    12.4    15.9 |     10.3    10.3    11.8 |       0.83       0.83
  64   4096   512 |      16.5    16.5    16.6 |     16.2    16.2    16.3 |       0.99       0.98
  64   4096  2048 |      14.4    14.4    18.7 |     14.5    14.4    17.8 |       1.01       1.00
  64   8192   512 |      18.6    18.5    22.3 |     22.5    22.3    28.2 |       1.21       1.20
  64   8192  2048 |      19.4    19.3    24.7 |     22.4    22.3    22.4 |       1.16       1.16
  64  16384   512 |      26.4    26.2    32.5 |     32.9    32.9    32.9 |       1.24       1.25
  64  16384  2048 |      28.8    28.8    29.0 |     34.3    34.3    34.4 |       1.19       1.19
  64  32768   512 |      49.2    49.2    55.8 |     75.5    75.4    75.6 |       1.53       1.53
  64  32768  2048 |      57.2    57.1    64.8 |     76.0    75.9    76.1 |       1.33       1.33
  64  65536   512 |      98.5    98.4   107.0 |    147.8   147.5   150.0 |       1.50       1.50
  64  65536  2048 |     108.7   108.7   108.9 |    152.5   152.3   153.6 |       1.40       1.40
   2   8192  2048 |      12.3    12.2    16.3 |     12.4    12.4    13.5 |       1.01       1.01
   2  16384  2048 |      16.4    16.4    16.5 |     18.5    18.5    18.6 |       1.13       1.13
